Protein_ID,AAO_1,AAO_2,AAO_3,AAO_4,AAO_5,AAO_6,AAO_7,AAO_8,AAO_9,AAO_10,AAO_11,AAO_12,AAO_13,AAO_14,AAO_15,AAO_16,AAO_17,AAO_18,AAO_19,AAO_20
P15698,-209,-339,-206,-339,-774,-281,-351,-348,-451,-470,-451,-288,-406,-589,-462,-52,-77,-795,-435,-334
Q56198,-9,-327,-376,-409,-619,-344,-334,-245,-378,-256,-294,-398,-370,-436,-459,-243,-200,-708,-447,-205
Q97II1,-304,-701,-632,-716,-1051,-596,-515,-685,-640,-479,-626,-518,-577,-874,-946,-435,-491,-1345,-794,-484
P35804,-15,-230,-214,-293,-333,-158,-223,-165,-284,-251,-294,-211,-169,-300,-339,-44,-66,-460,-255,-168
P0A566,25,-64,-45,-81,-187,28,-20,-87,-109,-122,-132,-37,-61,-175,-171,10,-16,-245,-156,-91
O31749,-91,-300,-374,-410,-625,-321,-359,-356,-453,-215,-277,-297,-272,-564,-608,-222,-236,-851,-531,-193
P80172,-226,-344,-255,-368,-788,-164,-212,-575,-454,-398,-467,-225,-256,-630,-630,-155,-136,-956,-487,-298
P33251,-166,-660,-477,-744,-705,-489,-571,-424,-393,-35,-39,-559,-9,-73,-569,-212,-167,-513,-325,-110
P15363,-285,-384,-166,-344,-867,-211,-232,-612,-447,-492,-507,-174,-351,-535,-631,-120,-153,-911,-453,-408
Q59112,-44,-237,-210,-237,-452,-151,-148,-240,-302,-201,-249,-169,-150,-384,-300,-99,-74,-557,-346,-134
P14319,-3,-234,-230,-295,-202,-194,-235,-131,-229,3,0,-192,-23,-79,-258,-71,-46,-178,-132,-4
P30345,-14,-105,-142,-188,-141,-106,-142,-116,-187,-110,-78,-115,-76,-196,-117,-63,-56,-239,-180,-78
P32397,-198,-379,-444,-454,-931,-405,-340,-475,-424,-451,-381,-392,-473,-519,-546,-216,-260,-853,-377,-341
O34767,-152,-383,-252,-373,-847,-172,-227,-435,-418,-376,-431,-258,-298,-518,-414,-116,-106,-881,-437,-258
Q99027,-587,-805,-1023,-1250,-1803,-623,-804,-1571,-1039,-462,-429,-879,-377,-801,-1567,-697,-473,-1921,-831,-509
P77949,-216,-283,-202,-257,-432,-254,-241,-295,-285,-278,-333,-171,-284,-319,-362,-194,-138,-577,-340,-213
O34360,-73,-171,-112,-194,-304,-87,-109,-218,-173,-192,-185,-90,-128,-222,-263,-63,-89,-324,-155,-167
P33247,-448,-829,-876,-989,-1174,-719,-745,-1048,-724,-899,-813,-845,-668,-1004,-1089,-535,-589,-1237,-731,-864
Q8NNK2,-205,-465,-271,-406,-654,-275,-319,-511,-438,-201,-232,-327,-90,-295,-422,-145,-116,-553,-266,-222
Q04942,-220,-255,-384,-344,-563,-282,-250,-573,-311,-195,-234,-280,-172,-449,-563,-302,-234,-754,-438,-222
P29148,-160,-597,-77,-307,-1340,-292,-409,-437,-563,-743,-744,-292,-570,-768,-675,-77,-59,-1008,-396,-490
Q9L4Q8,-540,-685,-818,-796,-1459,-589,-467,-1180,-866,-738,-820,-509,-603,-954,-1278,-695,-603,-1451,-866,-727
P33379,-157,-231,-177,-271,-1282,7,172,-824,-641,-973,-963,283,-580,-1280,-206,221,3,-1576,-1045,-682
P39774,-844,-771,-446,-901,-2099,-409,-383,-1855,-872,-852,-848,-348,-604,-990,-1652,-383,-451,-2107,-668,-881
Q1AU26,-854,-1337,-1334,-1384,-2222,-1069,-983,-1699,-1562,-1126,-1376,-1028,-1062,-1793,-1887,-928,-862,-2730,-1707,-967
Q9K6W0,-75,-322,-16,-139,-1051,-36,-81,-425,-619,-399,-465,-22,-327,-687,-663,86,143,-1115,-555,-343
P14677,-262,-614,-414,-658,-1807,-312,-470,-807,-966,-617,-724,-215,-560,-1071,-883,-203,-194,-1608,-615,-535
Q46336,-39,-55,-70,-104,-169,-47,-46,-120,-79,-159,-153,-57,-105,-146,-112,-29,-57,-191,-96,-123
P35829,-21,-397,-121,-420,-749,-275,-310,-529,-526,-477,-559,-221,-377,-738,-607,56,83,-1125,-560,-250
Q831U3,-490,-1238,-1297,-1337,-2338,-977,-922,-1810,-1576,-1155,-1023,-933,-1271,-1635,-1880,-997,-976,-2606,-1697,-1040
P68782,-233,-787,-797,-961,-818,-732,-884,-483,-772,-53,-107,-713,-152,-169,-801,-421,-348,-607,-467,-152
P45855,33,-617,-558,-659,-866,-424,-510,-463,-654,-491,-525,-501,-337,-802,-783,-274,-299,-1173,-750,-360
P36497,-506,-1080,-1093,-1517,-1924,-876,-1205,-1397,-1381,-521,-543,-1032,-578,-924,-1880,-505,-588,-1887,-1168,-635
A1R7K6,-497,-754,-971,-911,-1672,-768,-648,-1273,-918,-902,-813,-718,-847,-1149,-1151,-792,-804,-1573,-1059,-888
Q53728,-104,-585,-458,-557,-894,-396,-426,-635,-733,-752,-717,-456,-505,-1032,-634,-81,-210,-1349,-856,-545
Q9KWM4,-32,-65,-17,-58,-84,-20,-22,-83,-62,-67,-67,-36,-33,-95,-93,-7,-18,-121,-79,-52
P39129,-29,-542,-519,-736,-765,-452,-634,-414,-670,67,34,-542,13,34,-471,-207,-78,-348,-242,24
P85147,4,-75,-44,-91,-77,-66,-70,19,-83,-119,-117,-58,-80,-108,-110,-6,-53,-108,-89,-85
O30417,-6,-1110,-755,-1273,-837,-901,-1118,-442,-1049,53,-102,-919,-113,100,-912,-190,-238,-584,-344,2
P54264,-337,-390,-423,-411,-871,-216,-227,-638,-437,-492,-454,-237,-362,-630,-679,-301,-338,-897,-517,-443
P17893,-130,-199,-238,-258,-466,-189,-185,-347,-296,-187,-196,-175,-155,-370,-400,-163,-165,-569,-378,-187
Q2SS99,-712,-1181,-965,-1195,-2108,-1058,-815,-1709,-1421,-731,-899,-877,-1166,-1426,-1666,-866,-822,-2691,-1433,-777
P0C0N4,-175,-303,-278,-439,-384,-235,-312,-420,-308,55,29,-206,-26,-37,-412,-163,-95,-426,-110,-33
Q2FWV6,-47,-80,-59,-140,-218,-36,-51,-203,-140,-125,-90,-28,-57,-184,-184,-5,-40,-287,-139,-92
O32083,-46,-193,-146,-243,-582,-109,-172,-316,-289,-312,-324,-66,-231,-371,-375,-20,-35,-531,-238,-238
P23532,-3,-99,-105,-112,-235,-11,-18,-151,-104,-140,-104,-51,-35,-187,-213,-43,-59,-272,-154,-112
A0JSV8,-465,-733,-797,-791,-1523,-731,-615,-1112,-878,-840,-834,-657,-858,-957,-1308,-694,-726,-1489,-964,-839
P22266,59,-267,-243,-266,-479,-158,-204,-197,-353,-347,-325,-197,-264,-473,-288,16,-17,-658,-390,-251
P27623,-128,-166,-253,-237,-367,-221,-193,-307,-238,-132,-180,-185,-181,-225,-343,-198,-154,-458,-239,-104
P96614,-664,-709,-919,-983,-1465,-668,-764,-1293,-956,-828,-826,-548,-705,-1214,-1350,-586,-642,-1929,-1233,-730
Q53591,-269,-687,-380,-575,-1974,-289,-414,-1037,-858,-1085,-1055,-313,-691,-1351,-1136,-103,-94,-1658,-824,-854
O53441,-217,-673,-659,-747,-1073,-629,-547,-779,-619,-640,-656,-601,-530,-886,-1007,-470,-477,-1401,-827,-522
P54423,-227,-872,-568,-804,-1957,-665,-700,-970,-1035,-1069,-1179,-559,-959,-1382,-1165,-51,-340,-2039,-1075,-732
A5U127,-103,-282,-251,-292,-458,-221,-232,-277,-386,-137,-193,-183,-182,-262,-281,-171,-150,-493,-347,-120
P38578,-15,-94,-43,-93,-97,-56,-78,-26,-106,-89,-89,-53,-43,-131,-111,-6,-36,-165,-115,-54
P35825,-249,-1191,-768,-1164,-2150,-820,-710,-1706,-1740,-1273,-1396,-789,-999,-2008,-1796,-107,50,-3094,-1718,-684
P96710,-68,-1084,-911,-1372,-579,-858,-1231,-422,-1078,25,-21,-1110,70,104,-813,-204,-213,-435,-380,-81
Q02VB0,-489,-628,-483,-679,-1704,-346,-445,-1227,-778,-798,-728,-479,-563,-915,-1100,-408,-471,-1416,-664,-777
Q7NAT8,-272,-415,-508,-472,-945,-324,-255,-664,-531,-352,-345,-239,-293,-536,-680,-404,-365,-1018,-481,-378
P22821,-96,-297,-313,-426,-281,-256,-318,-333,-331,-21,-55,-282,-47,-193,-293,-169,-75,-419,-221,-25
O33702,51,-178,-187,-208,-246,-147,-157,-129,-211,-213,-201,-156,-170,-271,-167,-29,-17,-365,-236,-114
Q9ZBM2,-57,-336,-426,-570,-463,-343,-433,-400,-471,-85,-72,-325,-59,-149,-415,-140,-134,-491,-234,-99
P07515,-3,-114,-110,-127,-202,-59,-58,-140,-141,-105,-111,-73,-86,-193,-194,-52,-48,-266,-200,-86
P16304,-234,-293,-301,-293,-571,-252,-202,-501,-395,-242,-303,-188,-326,-489,-525,-274,-288,-738,-467,-277
P24012,-221,-517,-411,-586,-479,-428,-474,-393,-352,-99,-111,-488,-107,-24,-583,-235,-181,-357,-158,-149
P59934,-130,-739,-632,-622,-1087,-546,-387,-704,-841,-535,-595,-458,-496,-1006,-852,-440,-346,-1514,-879,-460
A6QH29,-103,-114,339,249,-1039,314,253,-338,-98,-883,-890,168,-553,-1003,-493,160,-111,-1232,-694,-727
P46815,-25,-37,-111,-142,-606,66,89,-362,-257,-354,-331,17,-238,-511,-381,-25,-103,-706,-407,-279
P68802,-110,-169,-141,-182,-327,-117,-89,-279,-204,-173,-167,-89,-115,-208,-226,-56,-70,-371,-169,-120
P59076,-514,-928,-843,-870,-1798,-764,-599,-1392,-1014,-851,-901,-617,-835,-1060,-1351,-770,-683,-1505,-958,-871
P54582,-207,-973,-884,-1137,-1184,-731,-896,-753,-1074,-319,-339,-826,-252,-462,-1021,-313,-255,-1021,-652,-277
Q06539,-136,-452,-416,-425,-826,-389,-335,-409,-538,-426,-516,-325,-350,-620,-730,-277,-250,-986,-535,-313
P72058,-38,-777,-894,-1097,-1166,-585,-778,-832,-928,-476,-442,-748,-312,-741,-896,-290,-186,-1276,-680,-303
Q8NNK5,59,-270,-226,-307,-502,-134,-219,-133,-374,-314,-305,-198,-191,-481,-337,-68,-92,-608,-408,-226
P59959,-138,-354,-398,-371,-572,-351,-292,-377,-437,-231,-302,-261,-285,-453,-524,-257,-231,-803,-429,-199
P65565,-76,-280,-206,-327,-281,-252,-304,-252,-247,-15,0,-283,43,-93,-358,-100,-105,-335,-184,-64
Q08788,-67,-249,-355,-277,-509,-210,-238,-306,-238,-266,-223,-336,-211,-312,-237,-195,-201,-470,-313,-227
P11018,-59,-510,-208,-343,-744,-427,-495,-297,-505,-418,-534,-435,-449,-562,-558,-38,-169,-786,-389,-332
P39071,-53,-563,-517,-664,-590,-533,-620,-484,-495,-403,-415,-561,-356,-565,-832,-271,-297,-837,-598,-282
P37487,-129,-382,-319,-303,-689,-269,-192,-564,-444,-289,-290,-193,-279,-445,-523,-192,-161,-877,-430,-205
P24301,-120,-195,-198,-182,-345,-145,-99,-214,-253,-146,-190,-73,-175,-286,-257,-131,-123,-408,-276,-81
P40943,-171,-444,-238,-413,-870,-291,-373,-546,-499,-468,-489,-332,-382,-534,-588,-255,-253,-750,-372,-385
P54146,-51,-880,-684,-890,-817,-657,-784,-325,-733,-310,-337,-737,-234,-339,-839,-227,-244,-783,-498,-238
P0A5S6,-343,-497,-509,-600,-751,-569,-515,-690,-475,-394,-432,-508,-492,-590,-743,-314,-358,-1031,-605,-354
P10424,-53,-349,-324,-389,-725,-269,-328,-459,-503,-405,-368,-251,-325,-623,-524,-140,-76,-885,-546,-305
P26900,-128,-440,-401,-439,-770,-376,-356,-485,-513,-360,-404,-375,-290,-602,-570,-197,-144,-954,-460,-243
O53077,-35,-129,-131,-126,-230,-62,-68,-194,-184,-90,-122,-83,-85,-238,-210,-75,-57,-307,-207,-63
P45741,-43,-364,-350,-380,-771,-160,-243,-514,-488,-423,-367,-248,-234,-574,-399,-80,-140,-801,-419,-273
P45829,-199,-634,-466,-704,-678,-501,-576,-441,-425,3,5,-552,7,10,-525,-243,-175,-419,-311,-94
P50847,26,-573,-506,-654,-600,-412,-515,-360,-607,-189,-202,-433,-112,-425,-515,-173,-103,-768,-485,-121
Q9AGY7,-23,-285,-256,-296,-395,-229,-197,-310,-250,-128,-197,-242,-175,-364,-428,-148,-158,-674,-359,-145
Q82K53,-309,-673,-899,-1129,-3287,-531,-388,-1373,-1748,-1365,-1835,-260,-1468,-2552,-970,-773,-816,-3746,-2381,-984
Q93M42,-396,-816,-599,-629,-1773,-437,-567,-1195,-746,-970,-860,-575,-779,-1072,-1030,-386,-255,-1654,-851,-784
P0A4N3,-54,-519,-496,-733,-738,-468,-643,-403,-684,40,45,-535,30,5,-496,-200,-103,-298,-237,18
Q6E3K9,-120,-250,-176,-268,-447,-159,-163,-383,-348,-259,-265,-191,-180,-418,-399,-69,-79,-610,-349,-185
P0A3G5,-100,-252,-179,-324,-897,84,-62,-566,-428,-404,-382,-74,-270,-668,-634,3,-24,-1049,-498,-315
P39694,-28,-111,-132,-202,-396,-18,-37,-266,-264,-210,-222,-29,-158,-372,-223,-25,-64,-518,-323,-153
Q9RLV9,-165,-294,-178,-323,-618,-167,-223,-419,-272,-355,-348,-193,-278,-344,-434,-98,-181,-655,-221,-294
P00691,-368,-804,-313,-523,-1576,-556,-641,-620,-589,-863,-850,-707,-631,-682,-977,-308,-309,-914,-444,-742
P35160,-99,-242,-222,-222,-477,-162,-190,-305,-277,-162,-158,-102,-212,-168,-250,-158,-131,-427,-253,-118
Q83FF5,-327,-480,-708,-677,-1138,-492,-441,-827,-754,-580,-441,-562,-587,-716,-1023,-556,-588,-1375,-708,-568
O34310,-64,-258,-143,-239,-391,-143,-173,-171,-277,-261,-319,-146,-219,-363,-388,-43,-39,-511,-289,-183
P39790,-83,-267,-107,-282,-539,-167,-193,-222,-292,-345,-409,-111,-357,-404,-276,2,-30,-590,-241,-238
P0A5P0,-91,-268,-308,-275,-635,-244,-167,-419,-239,-336,-301,-277,-246,-355,-490,-228,-196,-572,-331,-269
Q03Q83,-709,-981,-1087,-1021,-1810,-809,-704,-1350,-1204,-987,-1115,-810,-862,-1361,-1460,-854,-683,-2058,-1326,-839
P00469,-352,-461,-386,-429,-826,-335,-400,-647,-387,-427,-451,-376,-392,-483,-670,-382,-327,-745,-416,-434
Q08291,-184,-433,-378,-372,-648,-297,-313,-613,-395,-287,-241,-336,-260,-478,-654,-241,-275,-876,-434,-349
P07343,-180,-642,-780,-750,-1228,-574,-544,-971,-743,-637,-526,-633,-511,-945,-1205,-471,-471,-1423,-976,-599
P0A3Q0,-307,-454,-500,-525,-1050,-332,-338,-773,-510,-655,-525,-384,-488,-577,-708,-274,-402,-890,-417,-602
O34853,-179,-301,-286,-350,-494,-189,-209,-488,-303,-158,-182,-234,-114,-250,-469,-161,-97,-460,-167,-143
P0A0C1,-261,-268,-379,-345,-888,-202,-149,-649,-372,-450,-368,-265,-342,-473,-613,-267,-289,-778,-336,-406
P32959,-127,-373,-381,-429,-1035,-225,-324,-510,-504,-493,-409,-315,-337,-589,-513,-157,-128,-805,-397,-387
P34024,-192,-299,-182,-333,-581,-167,-241,-467,-280,-302,-283,-157,-185,-306,-454,-86,-70,-556,-214,-240
P37608,-492,-1033,-999,-1433,-1857,-770,-1096,-1350,-1302,-436,-431,-950,-539,-791,-1767,-485,-577,-1773,-1042,-578
P00644,-82,-138,-232,-292,-446,-131,-180,-343,-301,-271,-250,-96,-210,-315,-390,-121,-145,-470,-220,-194
P11540,-70,-105,-85,-77,-183,-42,-42,-165,-124,-90,-92,-76,-69,-129,-172,-62,-55,-194,-105,-82
P0A4Y0,-154,-480,-560,-660,-595,-435,-473,-691,-572,-271,-212,-493,-153,-465,-785,-238,-198,-1007,-482,-157
Q2FZL3,-211,-290,-71,-330,-782,-94,-192,-548,-325,-473,-496,-110,-281,-539,-568,-53,-77,-870,-348,-367
Q53778,-331,-500,-285,-507,-1300,-175,-159,-989,-477,-637,-546,-159,-403,-592,-970,-182,-248,-1184,-306,-547
Q44052,-83,-585,-239,-470,-1107,-352,-490,-477,-711,-666,-668,-457,-509,-831,-698,-29,-69,-965,-583,-477
P16397,-376,-1456,-769,-1236,-2946,-965,-1058,-1396,-1773,-1768,-1904,-920,-1430,-2333,-1755,-63,-439,-3144,-1786,-1234
P42175,-440,-825,-773,-955,-2404,-540,-557,-1085,-973,-1339,-1398,-662,-801,-1537,-1250,-566,-487,-1757,-1098,-1087
P12012,8,-818,-736,-935,-778,-621,-756,-471,-815,-59,-75,-623,-13,-437,-720,-263,-147,-996,-628,-42
Q03424,138,-306,-221,-406,-558,-238,-302,-143,-482,-449,-468,-233,-346,-641,-478,64,50,-794,-479,-260
P16400,-74,-133,-511,-512,-721,-231,-320,-612,-254,-298,-126,-463,-224,-416,-470,-280,-247,-708,-493,-235
Q2G1N7,-223,-161,-145,-263,-532,-83,-108,-568,-208,-185,-208,-45,-123,-269,-470,-121,-122,-570,-150,-199
Q45479,-174,-399,-400,-486,-456,-389,-458,-304,-389,-43,-90,-396,-184,-7,-489,-256,-252,-258,-179,-118
P26235,-85,-755,-816,-1023,-770,-726,-843,-443,-873,131,126,-755,-23,-20,-772,-264,-248,-725,-498,82
P15555,-80,-399,-343,-410,-920,-251,-375,-416,-500,-452,-376,-350,-315,-553,-414,-139,-122,-792,-363,-338
Q2RKV6,-373,-550,-521,-606,-846,-343,-423,-734,-553,-634,-579,-454,-470,-694,-767,-395,-448,-931,-539,-556
P96501,37,-343,4,-201,-806,-19,-240,-315,-536,-323,-363,-193,-211,-623,-656,46,28,-918,-547,-258
Q59118,-411,-679,-572,-735,-1558,-521,-545,-977,-654,-810,-884,-597,-694,-950,-742,-320,-282,-1527,-727,-608
P81102,-14,-163,-257,-225,-435,-166,-152,-315,-240,-248,-207,-183,-173,-303,-270,-148,-134,-446,-271,-156
P07883,-176,-272,-108,-199,-657,-176,-205,-277,-278,-374,-405,-159,-268,-329,-281,-118,-69,-359,-181,-288
